,date,team_1,team_2,_map,result_1,result_2,map_winner,starting_ct,ct_1,t_2,t_1,ct_2,event_id,match_id,rank_1,rank_2,map_wins_1,map_wins_2,match_winner,elo_diff,winrate_10_diff,winrate_30_diff,experience_diff,rank_diff,h2h_winrate,team_1_wins
65,2020-03-15,Endpoint,Tricked,Train,14,16,2,1,6,9,8,7,5247,2340329,40,86,1,2,2,23.494267267221858,0.3333333333333333,0.3333333333333333,0,-46,0.0,0
66,2020-03-15,Endpoint,Tricked,Dust2,16,13,1,2,10,4,6,9,5247,2340329,40,86,1,2,2,-10.666342427207837,0.0,0.0,0,-46,0.0,0
67,2020-03-15,Orgless,Dignitas,Inferno,12,16,2,1,6,9,6,7,5242,2340338,36,42,1,2,2,0.0,0.0,0.0,0,-6,0.5,0
68,2020-03-15,Orgless,Dignitas,Nuke,10,16,2,1,5,10,5,6,5242,2340338,36,42,1,2,2,-32.0,-1.0,-1.0,0,-6,0.0,0
69,2020-03-15,Orgless,Dignitas,Train,16,8,1,2,8,1,8,7,5242,2340338,36,42,1,2,2,-61.06099694204886,-1.0,-1.0,0,-6,0.0,0
70,2020-03-15,FunPlus Phoenix,Cloud9,Inferno,3,16,2,2,0,4,3,12,5242,2340337,14,28,1,2,2,-32.0,-1.0,-1.0,0,-14,0.0,0
71,2020-03-15,I sleep,Incept,Dust2,16,6,1,1,11,4,5,2,5248,2340436,173,176,2,0,1,7.719439052453936,0.3333333333333333,0.3333333333333333,2,-3,1.0,1
72,2020-03-15,FunPlus Phoenix,Cloud9,Nuke,16,10,1,2,5,6,11,4,5242,2340337,14,28,1,2,2,-61.06099694204886,-1.0,-1.0,0,-14,0.0,0
73,2020-03-14,Bad News Bears,Under 21,Dust2,18,22,2,1,4,11,11,4,5151,2340312,33,80,18,22,2,57.66895930873602,0.5,0.5,2,-47,0.5,0
74,2020-03-14,ORDER,Paradox,Inferno,16,19,2,1,12,3,3,12,5236,2340282,55,112,2,1,1,43.74713363361093,0.0,0.0,-3,-57,0.5,1
75,2020-03-14,ORDER,Paradox,Vertigo,16,6,1,1,10,5,6,1,5236,2340282,55,112,2,1,1,71.73903341505843,1.0,1.0,-3,-57,1.0,1
