,elo_diff,winrate_10_diff,winrate_30_diff,experience_diff,rank_diff,h2h_winrate,_map
3797,-209.05671961672988,-0.1,-0.2454545454545454,-9,15,0.0,Train
3798,-135.5886891996745,-0.7000000000000001,-0.3666666666666667,-75,-5,0.4285714285714285,Cobblestone
3799,-121.39096847818904,0.1999999999999999,-0.1666666666666666,8,-2,0.5,Mirage
3800,-78.64422924036103,0.1999999999999999,-0.1333333333333333,8,-2,1.0,Cache
3801,366.3406395385564,0.55,0.4499999999999999,24,-28,0.5,Overpass
3802,373.2681219494916,0.6777777777777778,0.5111111111111111,24,-28,1.0,Mirage
3803,-113.70256716701148,-0.6,-0.3,-75,-5,0.5,Overpass
3804,-12.123501590247088,0.0999999999999999,0.0333333333333333,118,34,0.0,Cache
3805,59.2992125163064,0.3,0.1666666666666666,118,34,0.5,Mirage
3806,-176.70177015025206,-0.2,-0.1999999999999999,71,27,0.5,Dust2
3807,207.6640176564713,0.1999999999999999,0.3666666666666666,-99,-84,0.0,Mirage
3808,-54.01802104495982,0.0,0.0,366,58,0.4,Mirage
3809,-24.247697670393336,0.0999999999999999,0.0,366,58,0.5,Cache
3810,-43.07001896099587,0.0,-0.0333333333333333,-122,-120,0.5,Overpass
3811,-81.08248226393334,-0.2,0.0,366,58,0.3333333333333333,Cobblestone
3812,158.53075214327487,0.1999999999999999,0.3333333333333333,-99,-84,0.0,Cache
3813,21.88997622783654,0.1999999999999999,0.0999999999999999,118,34,0.0,Cobblestone
3814,-71.12331982211231,-0.1,-0.0333333333333333,-122,-120,0.0,Cobblestone
3815,-20.55273241910868,-0.2,-0.1666666666666666,23,-4,0.0,Cache
3816,12.607997608394044,-0.1,-0.0999999999999999,23,-4,0.5,Dust2
3817,318.3326781063513,0.3999999999999999,0.3,718,-164,1.0,Train
3818,-166.55554874145037,-0.2,0.0014492753623188,-396,13,0.6,Dust2
3819,-8.67645431633332,-0.1,-0.1666666666666667,-80,-11,1.0,Nuke
3820,-126.53428605984118,0.0,0.0428571428571428,-396,13,1.0,Cache
3821,33.1572970921452,0.0,-0.1333333333333334,-78,-11,1.0,Mirage
3822,-96.66261611584991,-0.1,-0.0333333333333333,-122,-120,0.0,Dust2
3823,309.09153804516905,0.3999999999999999,0.2761904761904761,718,-164,0.5,Mirage
3824,-147.36936776982384,-0.0999999999999999,0.0212121212121211,-396,13,0.75,Train
3825,-499.6804020472382,-0.9,-0.7000000000000001,-7,69,0.0,Train
3826,-496.2018022945822,-0.9,-0.6666666666666667,-7,69,0.5,Cobblestone
3827,24.636023836140566,0.5,0.3333333333333333,12,38,0.5,Mirage
3828,96.71919037473184,-0.2,-0.0596491228070175,607,-21,0.5,Cache
3829,-95.70622894151164,-0.4,-0.5,-16,-4,0.5,Cobblestone
3830,88.22596240728308,0.0999999999999999,0.1019607843137254,-84,-23,0.5,Cache
3831,-93.48274663254142,-0.1999999999999999,0.0,-8,-18,0.0,Mirage
3832,-117.07460015930428,-0.2999999999999999,-0.0333333333333333,-8,-18,0.0,Overpass
3833,161.36969339265033,-0.1999999999999999,0.0916666666666666,611,-55,0.5,Mirage
3834,172.501826075895,0.2,0.2333333333333333,623,-17,0.5,Mirage
3835,-67.63461045109216,-0.0999999999999999,0.0333333333333333,-8,-18,0.5,Train
3836,189.80229731969507,0.3333333333333333,0.2666666666666667,623,-17,1.0,Nuke
3837,-336.84843276950687,-0.3,-0.1999999999999999,-805,17,0.5,Cobblestone
3838,326.2095804375606,0.0999999999999999,0.2333333333333333,457,-58,1.0,Dust2
3839,112.2703211533808,0.0999999999999999,0.1444444444444444,-84,-23,1.0,Mirage
3840,-12.475343296164963,-0.3,-0.2666666666666666,382,-30,0.5,Mirage
3841,158.78252189689715,0.3,0.3333333333333332,-392,-3,0.0,Dust2
3842,14.192942908092846,0.0999999999999999,0.2999999999999999,-869,16,0.5,Cobblestone
3843,317.3374561447338,0.0999999999999999,0.2,457,-58,0.5,Train
3844,-344.8965391343945,-0.4,-0.3333333333333332,-805,17,0.0,Mirage
3845,-231.80610643287923,-0.7,-0.2666666666666666,-94,-11,1.0,Mirage
3846,-164.4210118103706,-0.3,-0.2333333333333332,392,3,0.5,Train
3847,205.8746753252265,0.4571428571428571,0.3238095238095238,623,-17,1.0,Dust2
3848,-156.9848652614753,-0.4,-0.2666666666666666,391,3,0.0,Cobblestone
3849,-78.49161354586295,0.2,-0.1666666666666666,-127,94,0.5,Overpass
3850,-196.6997805171086,-0.4,-0.2333333333333334,-49,31,0.0,Cache
3851,-179.93406237044655,-0.2,-0.2,-49,31,0.0,Mirage
3852,-370.7495428054208,-0.4,-0.5333333333333334,-701,109,0.5,Train
3853,-377.5217904682668,-0.5,-0.55,-701,109,0.0,Cache
3854,-309.02588472618663,-0.3,-0.2153846153846153,-491,36,0.5,Dust2
3855,-318.2700134075535,-0.3,-0.2761904761904761,-491,36,0.0,Cobblestone
3856,-212.2990012279433,-0.5,-0.2666666666666667,-49,31,0.0,Train
3857,-103.38280031384012,0.0999999999999999,-0.2,-127,94,0.0,Dust2
3858,-47.65532439807112,-0.0999999999999999,-0.1333333333333333,210,-8,0.5,Cobblestone
3859,196.3203041342249,0.5,0.3,-115,19,1.0,Cache
3860,13.26736996763134,-0.0999999999999999,-0.0333333333333333,211,-8,0.75,Dust2
3861,199.89405479577567,0.2,0.1923076923076923,523,-173,0.0,Cobblestone
3862,251.72452408810452,0.4,0.25,523,-173,0.0,Cache
3863,-126.13231247820796,0.0999999999999999,-0.2,-127,94,0.0,Mirage
3864,177.24446222784923,0.6000000000000001,0.2666666666666666,-117,19,1.0,Cobblestone
3865,306.3582821896018,0.5,0.3515151515151515,523,-173,0.5,Nuke
3866,-35.96331752777428,-0.1,-0.0999999999999999,-275,-20,0.0,Cobblestone
3867,-4.365360975856447,0.0,-0.0666666666666666,-275,-20,0.5,Dust2
3868,-11.293427046899524,-0.0999999999999999,-0.0666666666666666,210,-8,0.6666666666666666,Nuke
3869,7.543824471493281,0.0,-0.0333333333333333,-201,21,0.6666666666666666,Nuke
3870,-216.91690812130585,-0.0999999999999999,-0.1666666666666667,-413,21,0.0,Train
3871,-231.1844116896541,-0.0999999999999999,-0.1666666666666667,-413,21,0.0,Dust2
3872,-244.56209686384136,-0.1999999999999999,-0.2,-413,21,0.0,Mirage
3873,58.96225359191181,0.1999999999999999,0.0333333333333333,-204,21,0.7142857142857143,Train
3874,315.1018718026644,0.55,0.3833333333333333,796,-153,0.5,Cache
3875,324.0728022613189,0.5777777777777778,0.4111111111111111,796,-153,1.0,Cobblestone
3876,332.6527548381605,0.6000000000000001,0.4333333333333333,796,-153,1.0,Mirage
3877,33.14275735861884,0.4,0.0333333333333333,-199,-9,0.2,Train
3878,-1.9005778182204267,0.2,0.0,-199,-9,0.1875,Nuke
3879,85.58317050342635,0.3,0.0333333333333333,-204,21,0.75,Cobblestone
3880,154.30557072914758,0.3999999999999999,0.2666666666666666,-55,-23,1.0,Overpass
3881,134.07585674282905,0.2999999999999999,0.2333333333333332,-55,-23,0.5,Mirage
3882,231.16694695790284,0.0,0.1333333333333333,215,-44,1.0,Overpass
3883,244.54569596474903,0.2,0.1666666666666666,215,-44,1.0,Dust2
3884,257.1277252727441,0.3999999999999999,0.2,215,-44,1.0,Mirage
3885,172.9596645984218,0.4999999999999999,0.2999999999999999,-55,-23,1.0,Dust2
3886,-51.86321150850449,0.0,0.0,22,24,0.0,Cache
3887,-84.91638758485897,0.3,-0.1666666666666667,690,7,0.625,Cobblestone
3888,-21.875347281659515,0.0,0.0294117647058823,22,24,0.5,Train
3889,175.31732575756428,0.2,0.2574712643678161,47,27,0.5,Mirage
3890,128.41396211925417,0.0999999999999999,0.2333333333333333,47,27,0.4,Dust2
3891,-109.24739886942416,0.2,-0.2,690,7,0.5555555555555556,Dust2
3892,225.59605973774728,0.3,0.2833333333333333,47,27,0.6666666666666666,Overpass
3893,306.4922298400222,1.0,0.7,800,-73,0.5,Mirage
3894,315.852308360066,1.0,0.7,800,-73,1.0,Cache
3895,175.7043335580399,0.0,0.2208333333333333,882,3,0.0,Cobblestone
3896,128.7730711737297,-0.0999999999999999,0.1470588235294117,882,3,0.0,Nuke
3897,277.2564507394238,0.2,0.0666666666666666,573,-9,0.5,Cobblestone
3898,115.99025947567476,0.0999999999999999,0.0666666666666666,-6,3,0.5,Cache
3899,224.0429538362971,0.1,0.0333333333333333,573,-9,0.0,Overpass
3900,173.86083890702207,-0.1,0.0,573,-9,0.0,Cache
3901,-158.41934282134935,-0.6,-0.4,-8,2,0.0,Dust2
3902,137.68712176106987,0.0999999999999999,0.1333333333333333,-6,3,1.0,Mirage
3903,309.59742154530363,1.0,0.8,270,-70,1.0,Mirage
3904,299.9314942546605,1.0,0.8,270,-70,0.5,Dust2
3905,-15.399276000456894,0.4,0.0833333333333333,-600,14,1.0,Dust2
3906,-52.16837344976216,0.4,0.0543859649122807,-600,14,1.0,Cache
3907,-92.49145882050992,0.2999999999999999,0.0222222222222222,-600,14,0.5,Train
3908,-185.49562589706989,-0.6,-0.3666666666666667,626,3,0.0,Cobblestone
3909,-138.54376995188613,-0.5,-0.3684210526315789,-8,2,0.5,Mirage
3910,-148.77802247661953,-0.4999999999999999,-0.3,626,3,0.0,Dust2
3911,10.96746730291261,-0.3999999999999999,-0.22183908045977,492,-4,0.0,Train
3912,47.29696747522621,-0.1999999999999999,-0.1761904761904762,492,-4,0.0,Dust2
3913,-167.85544227724336,-0.4999999999999999,-0.3333333333333333,626,3,0.0,Overpass
3914,87.1604688263883,-0.0999999999999999,-0.1296296296296296,492,-4,0.5,Cobblestone
3915,481.50891930346666,0.4,0.3666666666666666,-5,-23,0.5,Overpass
3916,46.93148724365574,-0.6,-0.7,642,-81,0.0,Dust2
3917,213.9176475781528,0.9,0.7,-50,-21,0.5,Cache
3918,-28.196395457777957,-0.5,-0.3333333333333333,-526,-23,0.5,Train
3919,6.394902050199789,-0.3,-0.1333333333333333,-526,-23,1.0,Nuke
3920,37.80597630906027,-0.1666666666666666,0.0,-526,-23,1.0,Dust2
3921,485.276462819945,0.5,0.3666666666666666,-5,-23,1.0,Cache
3922,86.76035201839886,-0.6,-0.7,642,-81,0.5,Cache
3923,29.074268026377467,0.1333333333333333,0.0476190476190476,-11,96,1.0,Dust2
3924,-3.2225293878077537,-0.3,-0.3076923076923077,-11,96,0.5,Mirage
3925,-294.4352186102494,-0.7142857142857143,-0.4142857142857142,-792,44,0.0,Mirage
3926,-283.9919978816213,-0.6666666666666667,-0.3666666666666666,-792,44,0.5,Overpass
3927,55.76899352828013,-0.1999999999999999,-0.0333333333333333,421,-37,0.4166666666666667,Train
3928,228.3774823846948,0.9,0.7333333333333334,-50,-21,1.0,Cobblestone
3929,-120.36914001085712,0.1999999999999999,-0.2,689,1,0.5714285714285714,Dust2
3930,-166.6393658195027,0.0999999999999999,-0.2,689,1,0.5,Mirage
3931,-216.3346686068892,-0.0999999999999999,-0.2333333333333334,689,1,0.4,Cache
3932,26.175274533189167,-0.1999999999999999,-0.0333333333333333,421,-37,0.3636363636363636,Mirage
3933,223.51250678058275,-0.1,-0.0999999999999999,590,-102,0.5,Train
3934,237.36350381013176,0.0,-0.0666666666666666,590,-102,1.0,Overpass
3935,250.36870614711256,0.0999999999999999,-0.0333333333333333,590,-102,1.0,Cache
3936,177.41981536517596,-0.6,-0.2,-69,72,0.5,Train
3937,194.3652360948504,0.5,0.8,-69,72,1.0,Cobblestone
3938,210.12354017621783,0.5,0.8,-69,72,1.0,Mirage
3939,120.51643459162732,-0.0999999999999999,0.0999999999999999,92,-13,1.0,Train
3940,397.976223737734,0.4,0.4666666666666667,137,-26,1.0,Cache
3941,53.95207668405942,0.1999999999999999,0.1333333333333333,-317,43,0.0,Mirage
3942,-98.99325012742406,0.0999999999999999,0.038095238095238,-777,9,0.0,Cache
3943,5.461788351260793,0.0,0.0333333333333333,-318,43,0.0,Cache
3944,-138.36611193959993,-0.0999999999999999,-0.0666666666666666,-778,9,0.0,Dust2
3945,48.34855989431389,0.3,-0.0999999999999999,-6,-9,1.0,Nuke
3946,-158.25570143127948,-0.2,-0.1333333333333333,-778,9,0.0,Cobblestone
3947,370.4441559972995,0.5,0.4761904761904762,90,-4,0.5,Train
